FAO.Code,Country,ISO,Continent,t_per_ha
1,Armenia,ARM,ASI,40.54398134
2,Afghanistan,AFG,ASI,7.104517062
3,Albania,ALB,EUR,64.1963821
4,Algeria,DZA,AFR,3.368791778
7,Angola,AGO,AFR,64.72524768
8,Antigua and Barbuda,ATG,LAM,80.13345741
9,Argentina,ARG,LAM,27.72206757
10,Australia,AUS,OCE,19.75640393
11,Austria,AUT,EU,60.31985065
12,Bahamas,BHS,LAM,99.66809272
13,Bahrain,BHR,ASI,0.039947097
14,Barbados,BRB,LAM,81.04653722
15,Belgium-Luxembourg,BLX,EU,66.48393785
16,Bangladesh,BGD,ASI,46.65702054
19,Bolivia (Plurinational State of),BOL,LAM,37.25937148
20,Botswana,BWA,AFR,25.95592091
21,Brazil,BRA,LAM,72.28577901
23,Belize,BLZ,LAM,116.7198479
25,Solomon Islands,SLB,OCE,104.0728988
26,Brunei Darussalam,BRN,ASI,84.61323137
27,Bulgaria,BGR,EU,57.99736538
28,Myanmar,MMR,ASI,53.06350555
29,Burundi,BDI,AFR,82.62432651
32,Cameroon,CMR,AFR,56.21429588
33,Canada,CAN,NAM,32.97942646
35,Cabo Verde,CPV,AFR,26.38343027
37,Central African Republic,CAF,AFR,50.88628982
38,Sri Lanka,LKA,ASI,55.98041999
39,Chad,TCD,AFR,9.031282495
40,Chile,CHL,LAM,45.14862884
41,"China, mainland",CHN,ASI,16.47700122
44,Colombia,COL,LAM,75.15553658
46,Congo,COG,AFR,81.48083967
48,Costa Rica,CRI,LAM,78.92642676
49,Cuba,CUB,LAM,90.50523447
50,Cyprus,CYP,EU,63.28367024
51,Czechoslovakia,CSK,EU,57.63423258
52,Azerbaijan,AZE,ASI,40.21704281
53,Benin,BEN,AFR,35.86471746
54,Denmark,DNK,EU,62.4072175
55,Dominica,DMA,LAM,124.6338801
56,Dominican Republic,DOM,LAM,98.26339287
57,Belarus,BLR,EUR,50.98010098
58,Ecuador,ECU,LAM,73.05108732
59,Egypt,EGY,AFR,3.847678265
60,El Salvador,SLV,LAM,85.06303756
63,Estonia,EST,EU,47.93439828
66,Fiji,FJI,OCE,103.1106831
67,Finland,FIN,EU,47.72390218
68,France,FRA,EU,75.9982557
70,French Polynesia,PYF,OCE,100.8071852
72,Djibouti,DJI,AFR,3.396989138
73,Georgia,GEO,ASI,54.37110537
74,Gabon,GAB,AFR,85.50280995
75,Gambia,GMB,AFR,26.02546561
79,Germany,DEU,EU,61.22333268
80,Bosnia and Herzegovina,BIH,EUR,67.86607445
81,Ghana,GHA,AFR,41.45141806
83,Kiribati,KIR,OCE,100.8071852
84,Greece,GRC,EU,62.12396332
86,Grenada,GRD,LAM,118.0201085
89,Guatemala,GTM,LAM,84.81152015
90,Guinea,GIN,AFR,28.04077241
91,Guyana,GUY,LAM,49.28422495
93,Haiti,HTI,LAM,90.32418973
95,Honduras,HND,LAM,93.91532171
96,"China, Hong Kong SAR",HKG,ASI,69.92654023
97,Hungary,HUN,EU,53.9847052
98,Croatia,HRV,EU,67.13089183
99,Iceland,ISL,EUR,29.18410196
100,India,IND,ASI,27.97489666
101,Indonesia,IDN,ASI,87.81063116
102,Iran (Islamic Republic of),IRN,ASI,10.07774436
103,Iraq,IRQ,ASI,6.550846049
104,Ireland,IRL,EU,85.1195921
105,Israel,ISR,ASI,48.32808322
106,Italy,ITA,EU,79.33532848
107,C̫te d'Ivoire,CIV,AFR,54.64363015
108,Kazakhstan,KAZ,ASI,13.2833343
109,Jamaica,JAM,LAM,122.7123846
110,Japan,JPN,ASI,79.66317181
112,Jordan,JOR,ASI,11.8994254
113,Kyrgyzstan,KGZ,ASI,22.11739397
114,Kenya,KEN,AFR,36.42853668
115,Cambodia,KHM,ASI,52.57430819
116,Democratic People's Republic of Korea,PRK,ASI,41.49818275
117,Republic of Korea,KOR,ASI,72.91200753
118,Kuwait,KWT,ASI,0.925226798
119,Latvia,LVA,EU,52.60562787
120,Lao People's Democratic Republic,LAO,ASI,76.12289245
121,Lebanon,LBN,ASI,45.7087101
122,Lesotho,LSO,AFR,47.55698133
123,Liberia,LBR,AFR,70.39322451
124,Libya,LBY,AFR,1.505192371
126,Lithuania,LTU,EU,52.37777453
128,"China, Macao SAR",MAC,ASI,69.92654023
129,Madagascar,MDG,AFR,86.76677074
130,Malawi,MWI,AFR,59.14583141
131,Malaysia,MYS,ASI,76.41139183
132,Maldives,MDV,ASI,76.41139183
133,Mali,MLI,AFR,8.351356612
134,Malta,MLT,EU,52.57344758
136,Mauritania,MRT,AFR,1.654395713
137,Mauritius,MUS,AFR,115.2844444
138,Mexico,MEX,LAM,34.8459457
141,Mongolia,MNG,ASI,10.03477341
143,Morocco,MAR,AFR,13.50596853
144,Mozambique,MOZ,AFR,64.3275135
146,Republic of Moldova,MDA,EUR,44.72740445
147,Namibia,NAM,AFR,23.32755509
149,Nepal,NPL,ASI,48.45581258
150,Netherlands,NLD,EU,69.08148642
151,Netherlands Antilles,ANT,LAM,43.02838902
153,New Caledonia,NCL,OCE,93.21845734
154,The former Yugoslav Republic of Macedonia,MKD,EUR,51.09690623
155,Vanuatu,VUT,OCE,99.77898955
156,New Zealand,NZL,OCE,88.90457914
157,Nicaragua,NIC,LAM,72.20476123
158,Niger,NER,AFR,2.043850205
159,Nigeria,NGA,AFR,29.37035928
162,Norway,NOR,EUR,47.84439466
165,Pakistan,PAK,ASI,5.638471402
166,Panama,PAN,LAM,60.19756201
167,Czech Republic,CZE,EU,58.74506094
168,Papua New Guinea,PNG,OCE,121.0775447
169,Paraguay,PRY,LAM,66.67054516
170,Peru,PER,LAM,40.70797137
171,Philippines,PHL,ASI,94.0801762
173,Poland,POL,EU,53.30143183
174,Portugal,PRT,EU,75.69072964
175,Guinea-Bissau,GNB,AFR,18.03270473
176,Timor-Leste,TLS,ASI,95.35427937
177,Puerto Rico,PRI,LAM,93.64381397
178,Eritrea,ERI,AFR,4.554190138
179,Qatar,QAT,ASI,0.519346862
181,Zimbabwe,ZWE,AFR,47.9597526
183,Romania,ROU,EU,59.40068815
184,Rwanda,RWA,AFR,93.54930333
185,Russian Federation,RUS,ASI,30.34938405
186,Serbia and Montenegro,SCG,EUR,60.04426141
188,Saint Kitts and Nevis,KNA,LAM,98.85794272
189,Saint Lucia,LCA,LAM,114.6270786
191,Saint Vincent and the Grenadines,VCT,LAM,108.0543782
193,Sao Tome and Principe,STP,AFR,53.41564912
194,Saudi Arabia,SAU,ASI,0.58151188
195,Senegal,SEN,AFR,12.75691455
197,Sierra Leone,SLE,AFR,42.97360703
198,Slovenia,SVN,EU,69.47168624
199,Slovakia,SVK,EU,56.52340421
200,Singapore,SGP,ASI,51.0626405
201,Somalia,SOM,AFR,11.62307801
202,South Africa,ZAF,AFR,34.48098355
203,Spain,ESP,EU,55.27173903
207,Suriname,SUR,LAM,67.77261779
208,Tajikistan,TJK,ASI,11.82625236
209,Swaziland,SWZ,AFR,81.34104689
210,Sweden,SWE,EU,58.00737021
211,Switzerland,CHE,EUR,63.6052771
212,Syrian Arab Republic,SYR,ASI,6.235979566
213,Turkmenistan,TKM,ASI,3.974025292
214,"China, Taiwan Province of",TWN,ASI,70.44312926
215,United Republic of Tanzania,TZA,AFR,68.44055872
216,Thailand,THA,ASI,53.48641195
217,Togo,TGO,AFR,36.23778938
220,Trinidad and Tobago,TTO,LAM,120.9226393
221,Oman,OMN,ASI,6.426192845
222,Tunisia,TUN,AFR,5.470777067
223,Turkey,TUR,EUR,33.24325435
225,United Arab Emirates,ARE,ASI,4.655904804
226,Uganda,UGA,AFR,91.64773313
228,USSR,SUN,ASI,30.34938405
229,United Kingdom,GBR,EU,74.59372105
230,Ukraine,UKR,EUR,42.37833129
231,United States of America,USA,NAM,29.84322791
233,Burkina Faso,BFA,AFR,11.40825345
234,Uruguay,URY,LAM,75.23686994
235,Uzbekistan,UZB,ASI,6.383317305
236,Venezuela (Bolivarian Republic of),VEN,LAM,59.1853754
237,Viet Nam,VNM,ASI,53.31379789
238,Ethiopia,ETH,AFR,50.5244864
244,Samoa,WSM,OCE,83.584538
248,Yugoslav SFR,YUG,EUR,59.66908069
249,Yemen,YEM,ASI,6.821102043
250,Democratic Republic of the Congo,COD,AFR,85.88521875
251,Zambia,ZMB,AFR,63.66164848
255,Belgium,BEL,EU,66.11072691
256,Luxembourg,LUX,EU,66.8571488
272,Serbia,SRB,EUR,60.04426141
273,Montenegro,MNE,EUR,60.04426141
276,Sudan,SDN,AFR,16.9268719
277,South Sudan,SSD,AFR,16.9268719
999,RoW,ROW,ROW,54.18266821